Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-21 13:00,7307.09,7357.25,7293.04,7340.29,156.19,1145572.08,7334.57
2018-07-21 14:00,7340.99,7370,7340,7356.01,250.54,1843444.5,7357.83
2018-07-21 15:00,7352,7380.66,7345.26,7350.68,182.97,1347541.91,7364.92
2018-07-21 16:00,7350.68,7413.2,7336.59,7390.67,196.62,1453185.74,7390.8
2018-07-21 17:00,7389.98,7429.79,7382.99,7399.97,156.83,1161130.54,7403.61
2018-07-21 18:00,7397.18,7428.78,7371.93,7410.33,170.1,1258317.25,7397.52
2018-07-21 19:00,7405.12,7443.33,7405.11,7432.99,87.93,653121.75,7428.12
2018-07-21 20:00,7433.99,7449.66,7393.01,7424.99,80.07,594254.35,7421.56
2018-07-21 21:00,7418.61,7458,7409.56,7414.2,69.65,517298.07,7427.07
2018-07-21 22:00,7414.2,7430.16,7395.22,7412.56,26.6,197235.09,7415.92
2018-07-21 23:00,7412.56,7425,7396.83,7415.57,29.27,216812.48,7407.05
2018-07-22 00:00,7424.99,7425,7400.8,7409.92,26.13,193732.87,7412.83
2018-07-22 01:00,7398.16,7449.67,7336.15,7446.98,268.23,1981138.35,7385.97
2018-07-22 02:00,7446.45,7478,7422.96,7472.39,110.05,820165.37,7452.65
2018-07-22 03:00,7476.54,7486.04,7418.44,7433.53,182.77,1363437.32,7459.74
2018-07-22 04:00,7425,7430.16,7398.44,7408.48,140.51,1041527.4,7412.69
2018-07-22 05:00,7415.96,7415.96,7358.61,7394.89,249.65,1843379.84,7383.91
2018-07-22 06:00,7389.1,7405.99,7365,7404.89,117.91,870528.63,7382.83
2018-07-22 07:00,7398.32,7405.55,7365.02,7385.51,36.81,271870.33,7386.4
2018-07-22 08:00,7393.17,7404.43,7380.5,7388.59,90.13,666107.38,7390.62
2018-07-22 09:00,7395.69,7462.42,7388.63,7442.52,175.52,1304602.31,7432.72
2018-07-22 10:00,7440.53,7455.01,7428.55,7442.6,73.56,547357.24,7441.35
2018-07-22 11:00,7434.3,7460,7426.63,7447.7,102.93,766518.15,7447.01
2018-07-22 12:00,7456.45,7468.31,7442.69,7450.98,63.61,474263.13,7455.43
2018-07-22 13:00,7450.88,7457.59,7427.11,7429.06,84.88,631847.95,7443.94
2018-07-22 14:00,7427.3,7486.98,7427.3,7459.55,145.01,1081758.53,7460.04
2018-07-22 15:00,7459.56,7515,7449.75,7481.92,288.01,2155953.39,7485.57
2018-07-22 16:00,7481.92,7551.94,7481.92,7526.63,687.13,5175198.38,7531.61
2018-07-22 17:00,7526.64,7544.93,7479,7517.17,179.9,1352034.77,7515.4
2018-07-22 18:00,7517.26,7523.37,7481.54,7497.72,66.57,499181.8,7498.57
